ID,V2,V5,V6,DrivingStyle
DR_57635,1714,20316,5,Aggressive
DR_66927,2028,17396,5,Aggressive
DR_61127,1708,19815,5,Aggressive
DR_32481,732,7050,3,Aggressive
DR_53604,1741,22342,6,Normal
DR_13120,1705,26801,6,Vague
DR_20711,1690,32930,6,Aggressive
DR_44066,776,3512,2,Vague
DR_15908,1945,14455,5,Aggressive
DR_43037,548,2579,2,Vague
DR_10203,1068,2637,3,Normal
DR_22843,1711,32403,6,Aggressive
DR_45863,455,773,2,Aggressive
DR_30680,1050,4991,4,Aggressive
DR_36623,1715,32852,6,Vague
DR_20585,1712,16807,6,Aggressive
DR_71355,1248,8691,2,Aggressive
DR_61278,979,11874,3,Vague
DR_24419,1728,24175,6,Aggressive
DR_34231,807,1313,3,Vague
DR_14233,849,1839,3,Normal
DR_20753,512,1784,2,Aggressive
DR_63098,580,1554,2,Normal
DR_58134,1647,14962,5,Normal
DR_59023,971,3861,4,Normal
DR_40110,613,2268,2,Normal
DR_28634,564,1907,2,Normal
DR_15809,565,1799,2,Normal
DR_65224,570,1855,2,Normal
DR_43161,587,1548,2,Normal
DR_63161,562,2207,2,Normal
DR_20428,601,2428,2,Normal
DR_12617,573,1852,2,Normal
DR_11053,602,1780,2,Normal
DR_40514,499,2236,2,Normal
DR_23368,553,2166,2,Normal
DR_57545,577,2464,2,Normal
DR_63360,523,2506,2,Normal
DR_47381,588,1543,2,Normal
DR_38025,604,2026,2,Normal
DR_35959,575,1631,2,Normal
DR_5457,1706,21455,5,Aggressive
DR_32450,556,3181,2,Vague
DR_15748,1032,6781,2,Vague
DR_29801,524,1379,2,Normal
DR_14451,559,1509,2,Vague
DR_53842,529,1591,2,Vague
DR_43244,540,1311,2,Vague
DR_19355,551,1230,2,Vague
DR_42474,576,2269,2,Vague
DR_57911,584,1816,2,Vague
DR_42251,558,2064,2,Vague
DR_14037,665,2763,2,Vague
DR_31345,572,1824,2,Vague
DR_63729,1294,3395,5,Vague
DR_17257,560,1598,2,Normal
DR_71857,1640,15528,3,Normal
DR_40879,960,3097,4,Normal
DR_28219,932,15341,3,Normal
DR_14764,576,2157,2,Normal
DR_59747,514,1733,2,Vague
DR_22120,565,2251,2,Vague
DR_56156,1706,35680,6,Normal
DR_18147,556,2368,2,Vague
DR_66327,1716,34441,6,Vague
DR_59124,515,2265,2,Aggressive
DR_60130,1069,1666,2,Vague
DR_36242,632,3072,2,Vague
DR_66075,634,2943,2,Vague
DR_5587,521,1377,2,Vague
DR_51942,586,4172,2,Normal
DR_37077,711,6489,3,Normal
DR_24425,544,1920,2,Normal
DR_49289,1662,27369,6,Aggressive
DR_17588,520,2442,2,Vague
DR_55418,677,1289,2,Vague
DR_66689,1698,22018,6,Aggressive
DR_71747,513,2119,2,Aggressive
DR_42784,794,3750,2,Aggressive
DR_54360,756,4660,2,Vague
DR_32056,566,1794,2,Aggressive
DR_57723,586,2524,2,Aggressive
DR_60499,576,3129,2,Vague
DR_14453,570,2545,2,Normal
DR_6853,550,2661,2,Aggressive
DR_60249,580,1939,2,Normal
DR_22073,563,2182,2,Normal
DR_60904,558,2893,2,Normal
DR_7072,551,1269,2,Normal
DR_28889,803,3373,2,Normal
DR_59621,550,2436,2,Normal
DR_17574,588,1722,2,Normal
DR_25901,565,1873,2,Normal
DR_34514,544,2384,2,Normal
DR_24247,562,1947,2,Normal
DR_71652,548,2211,2,Normal
DR_46700,570,2453,2,Normal
DR_5139,600,2052,2,Vague
DR_62797,551,2777,2,Vague
DR_17504,566,1517,2,Vague
DR_25017,594,1996,2,Vague
DR_48621,557,2081,2,Vague
DR_35362,562,1905,2,Vague
DR_49756,584,2118,2,Vague
DR_17005,528,2078,2,Aggressive
DR_57592,594,2048,2,Vague
DR_18222,532,1765,2,Vague
DR_39653,567,2660,2,Vague
DR_31585,568,1876,2,Vague
DR_18515,551,1816,2,Vague
DR_53927,536,1731,2,Vague
DR_22660,550,1445,2,Vague
DR_11469,574,1657,2,Vague
DR_45609,553,1762,2,Normal
DR_31970,555,1922,2,Vague
DR_44479,579,1748,2,Vague
DR_45789,572,1730,2,Vague
DR_67269,540,2559,2,Vague
DR_35375,596,2458,2,Vague
DR_65304,560,1649,2,Normal
DR_59853,594,1933,2,Vague
DR_17063,551,2065,2,Vague
DR_39677,511,1408,2,Vague
DR_63735,1716,21132,5,Vague
DR_68240,1990,27585,5,Aggressive
DR_7261,1695,25427,6,Vague
DR_52917,1720,23824,6,Aggressive
DR_15710,1684,19899,6,Vague
DR_61484,1701,28314,6,Aggressive
DR_64743,542,2491,2,Vague
DR_48708,1506,15843,3,Normal
DR_61191,558,2329,2,Vague
DR_49766,1477,10713,5,Vague
DR_74929,1718,26297,6,Normal
DR_42797,2054,27901,6,Aggressive
DR_52649,545,1164,2,Vague
DR_73794,1725,19079,5,Aggressive
DR_61609,713,2841,2,Vague
DR_69727,529,1896,2,Normal
DR_31550,1075,3783,4,Vague
DR_10783,1505,11687,3,Normal
DR_26810,1652,21923,4,Vague
DR_13557,591,2336,2,Vague
DR_33842,541,1557,2,Vague
DR_28186,1682,19797,4,Normal
DR_29831,755,3109,2,Vague
DR_24773,600,2270,2,Normal
DR_27301,745,3031,2,Normal
DR_34879,771,4165,2,Normal
DR_49580,1312,14175,2,Normal
DR_14348,1679,15753,5,Normal
DR_45695,606,2788,2,Normal
DR_65576,1300,588,3,Normal
DR_43079,598,1695,2,Normal
DR_42927,591,2474,2,Normal
DR_33083,616,3138,2,Normal
DR_22060,529,1699,2,Normal
DR_57180,566,2381,2,Normal
DR_63561,524,1612,2,Normal
DR_36747,1691,44436,6,Normal
DR_27833,1693,25574,5,Normal
DR_21496,557,2428,2,Aggressive
DR_73055,1798,31390,6,Normal
DR_50418,555,1663,2,Normal
DR_47096,1661,23561,4,Vague
DR_65900,624,2979,2,Vague
DR_66318,921,4517,4,Aggressive
DR_12887,2046,17012,4,Aggressive
DR_64824,1738,20584,5,Normal
DR_11009,628,2205,2,Vague
DR_72561,576,2571,2,Aggressive
DR_50470,1718,38076,5,Aggressive
DR_57227,562,2441,2,Normal
DR_70088,1692,47696,6,Aggressive
DR_20858,518,1042,2,Aggressive
DR_15879,517,1542,2,Aggressive
DR_12115,1765,36622,6,Aggressive
DR_72760,1513,14208,3,Aggressive
DR_68708,1686,18778,5,Aggressive
DR_72801,1076,16384,3,Vague
DR_31268,1723,35356,6,Vague
DR_65047,569,2051,2,Aggressive
DR_71760,1708,23182,6,Aggressive
DR_64014,594,1266,2,Vague
DR_63945,1750,13170,5,Aggressive
DR_21960,1713,35150,6,Aggressive
DR_67842,1742,23485,6,Aggressive
DR_34432,589,2567,2,Normal
DR_49816,1753,22351,6,Aggressive
DR_31232,1968,40224,7,Aggressive
DR_41220,527,2168,2,Vague
DR_20853,1986,32440,5,Aggressive
DR_5515,1687,35694,6,Vague
DR_4839,1047,15636,3,Aggressive
DR_7175,1366,12097,5,Aggressive
DR_29228,600,2511,2,Aggressive
DR_34688,2008,15845,5,Aggressive
DR_11048,1732,21280,6,Aggressive
DR_32553,1682,10647,6,Aggressive
DR_23992,2022,14240,6,Aggressive
DR_27673,542,2580,2,Normal
DR_28383,471,1445,2,Aggressive
DR_33289,1992,29270,6,Aggressive
DR_56584,1044,9840,2,Aggressive
DR_51894,562,1877,2,Normal
DR_33440,699,3403,2,Aggressive
DR_50786,927,4761,2,Normal
DR_73330,890,3026,4,Aggressive
DR_70285,1517,10455,3,Aggressive
DR_28724,868,3689,4,Aggressive
DR_61572,1678,14626,5,Aggressive
DR_44400,968,5076,2,Vague
DR_18860,650,1487,2,Vague
DR_35028,1570,15988,4,Normal
DR_47327,586,1777,2,Vague
DR_21507,1715,30851,6,Aggressive
DR_26371,1763,23190,6,Normal
DR_54050,638,2968,2,Normal
DR_38442,605,3216,2,Normal
DR_74344,537,2088,2,Normal
DR_50192,1676,35600,6,Normal
DR_53213,1697,38659,6,Normal
DR_25269,1717,16040,4,Normal
DR_11502,1714,27987,6,Normal
DR_20511,1707,13985,5,Aggressive
DR_41011,808,7629,2,Normal
DR_28652,521,2329,2,Normal
DR_17315,910,6491,2,Normal
DR_15338,1223,3155,4,Normal
DR_61281,1718,30864,5,Normal
DR_38368,571,2313,2,Normal
DR_16872,657,3282,2,Normal
DR_69686,836,3824,3,Normal
DR_4427,582,2322,2,Aggressive
DR_73837,975,4128,4,Normal
DR_64453,652,1695,2,Vague
DR_24116,1688,38017,6,Normal
DR_44459,584,1599,2,Normal
DR_40916,615,3085,2,Vague
DR_41672,795,3601,3,Vague
DR_12810,1334,4882,4,Vague
DR_55491,948,19007,3,Vague
DR_69502,1612,17692,6,Vague
DR_58996,1681,18101,5,Vague
DR_48659,1694,31940,6,Vague
DR_28585,1722,29337,6,Vague
DR_19498,1699,28064,5,Vague
DR_31982,545,1627,2,Vague
DR_37922,1707,30488,6,Vague
DR_40472,1752,17391,6,Aggressive
DR_19522,1664,38172,6,Normal
DR_61560,1726,26016,6,Aggressive
DR_22138,1732,32321,6,Aggressive
DR_10228,1959,18502,5,Vague
DR_57326,1709,19561,4,Normal
DR_35466,1707,29052,6,Vague
DR_4565,2012,20808,5,Aggressive
DR_52023,1726,27668,5,Vague
DR_49606,1996,18375,5,Aggressive
DR_20117,623,2344,2,Vague
DR_23831,684,1090,2,Normal
DR_62433,583,1988,2,Aggressive
DR_49715,574,2103,2,Aggressive
DR_36894,512,2804,2,Aggressive
DR_32302,531,2513,2,Aggressive
DR_14518,622,2632,2,Vague
DR_23494,1647,15246,3,Vague
DR_26181,655,2297,2,Vague
DR_28739,1707,20505,6,Vague
DR_16526,629,2110,2,Vague
DR_68835,1768,20957,6,Aggressive
DR_27624,1675,15182,5,Normal
DR_32626,1765,21431,4,Aggressive
DR_41613,600,1823,2,Normal
DR_27685,604,2921,2,Aggressive
DR_65230,525,1521,2,Normal
DR_40191,1745,28065,6,Normal
DR_28193,1068,4943,3,Normal
DR_49682,1727,17668,5,Normal
DR_15667,1717,22686,5,Aggressive
DR_38435,1741,22025,6,Vague
DR_52503,651,2031,2,Normal
DR_25433,1013,7337,2,Normal
DR_69630,1680,32668,5,Normal
DR_4838,1657,14864,5,Normal
DR_25850,990,2700,4,Normal
DR_54080,581,2281,2,Normal
DR_57121,547,1277,2,Normal
DR_10824,602,2698,2,Vague
DR_53997,613,2273,2,Vague
DR_57913,580,2029,2,Vague
DR_21998,1689,28631,5,Normal
DR_19789,549,2074,2,Vague
DR_49636,676,3422,2,Aggressive
DR_74294,1716,25537,6,Aggressive
DR_39183,886,3015,3,Vague
DR_25590,1819,18631,5,Vague
DR_25409,556,1959,2,Vague
DR_53970,1706,26238,6,Normal
DR_4733,1708,17988,5,Normal
DR_27715,1691,32854,6,Aggressive
DR_69213,1711,11715,5,Aggressive
DR_44787,1719,12495,5,Aggressive
DR_36559,572,2611,2,Normal
DR_43738,1820,18135,6,Vague
DR_73596,1685,25334,6,Normal
DR_33798,1799,7580,5,Normal
DR_57369,516,1869,2,Vague
DR_52882,1742,21861,6,Normal
DR_39293,557,1655,2,Aggressive
DR_18602,1700,14652,5,Vague
DR_6469,2029,10141,4,Normal
DR_54029,500,2523,2,Normal
DR_11408,547,2256,2,Vague
DR_16034,1722,25286,5,Normal
DR_11465,1375,11888,5,Aggressive
DR_42395,608,2499,2,Normal
DR_24436,865,767,3,Normal
DR_44879,1698,26698,5,Aggressive
DR_10789,1703,32360,6,Aggressive
DR_62823,743,1380,2,Aggressive
DR_52322,1441,10874,6,Normal
DR_40479,1668,16508,6,Vague
DR_22479,1696,13199,4,Aggressive
DR_71576,1778,9564,3,Vague
DR_42576,546,1769,2,Aggressive
DR_64479,1825,11833,4,Aggressive
DR_4324,500,2023,2,Vague
DR_30286,547,2706,2,Normal
DR_74045,562,1786,2,Vague
DR_19049,585,1950,2,Aggressive
DR_54586,1676,15620,5,Vague
DR_57622,584,2129,2,Vague
DR_16648,1733,23221,6,Aggressive
DR_35729,619,1275,2,Vague
DR_29043,1644,34322,6,Normal
DR_42349,1008,4631,4,Aggressive
DR_62278,1652,14276,5,Normal
DR_40196,647,3054,2,Normal
DR_10152,1731,12863,5,Aggressive
DR_70278,1733,20111,6,Normal
DR_47377,1707,13256,6,Normal
DR_5092,534,2031,2,Normal
DR_62226,1706,33711,6,Aggressive
DR_68033,510,1745,2,Normal
DR_21862,612,2487,2,Normal
DR_29813,568,1082,2,Normal
DR_68178,523,1830,2,Aggressive
DR_34105,595,2751,2,Normal
DR_15611,668,2931,2,Normal
DR_21261,540,1933,2,Vague
DR_50671,595,2087,2,Vague
DR_59765,888,4127,2,Aggressive
DR_42803,545,1918,2,Aggressive
DR_35393,540,1851,2,Vague
DR_20651,775,2367,2,Normal
DR_39704,529,2033,2,Vague
DR_58632,564,2237,2,Vague
DR_67006,544,1822,2,Normal
DR_55729,600,1902,2,Vague
DR_36091,545,2358,2,Vague
DR_50768,590,1663,2,Vague
DR_67338,627,3362,2,Vague
DR_51348,482,1410,2,Vague
DR_38149,599,1996,2,Normal
DR_60084,1719,34424,6,Aggressive
DR_68310,1700,26921,5,Aggressive
DR_24664,615,3667,2,Normal
DR_14525,1989,18307,5,Aggressive
DR_65500,565,1795,2,Normal
DR_47990,749,1354,2,Normal
DR_45324,528,1678,2,Vague
DR_36712,1685,19237,6,Vague
DR_5001,1757,31507,6,Normal
DR_60836,1633,23728,5,Vague
DR_37375,525,1358,2,Normal
DR_42196,2017,20036,6,Aggressive
DR_15669,1826,21872,5,Normal
DR_60361,833,6891,2,Normal
DR_28321,2048,19465,5,Aggressive
DR_45007,1695,20665,6,Normal
DR_45078,1761,20540,6,Aggressive
DR_15358,1675,25620,6,Aggressive
DR_72860,1982,15272,6,Aggressive
DR_7046,468,504,2,Aggressive
DR_10749,2005,10808,6,Aggressive
DR_54661,708,3216,2,Vague
DR_61399,554,1744,2,Vague
DR_39581,1506,11325,3,Aggressive
DR_21865,450,1348,2,Aggressive
DR_64874,1724,21640,6,Aggressive
DR_15262,587,2120,2,Aggressive
DR_63447,661,2080,2,Vague
DR_4905,586,2704,2,Vague
DR_26323,598,1711,2,Vague
DR_6436,604,2162,2,Vague
DR_48224,860,3862,2,Vague
DR_67195,607,2350,2,Normal
DR_25004,1657,7328,4,Normal
DR_66097,765,3073,2,Normal
DR_60678,592,2343,2,Normal
DR_71630,532,2044,2,Normal
DR_11228,636,2367,2,Normal
DR_62954,550,1998,2,Normal
DR_54695,513,2136,2,Normal
DR_18366,515,1510,2,Normal
DR_43010,546,1940,2,Normal
DR_6550,719,2510,2,Normal
DR_67148,547,1625,2,Normal
DR_59428,517,1957,2,Normal
DR_5211,552,2097,2,Normal
DR_32034,477,1509,2,Normal
DR_71457,526,1079,2,Vague
DR_40292,724,2730,2,Aggressive
DR_37520,526,1325,2,Aggressive
DR_56256,507,1332,2,Normal
DR_40223,525,2138,2,Vague
DR_72364,515,2080,2,Aggressive
DR_19457,554,1522,2,Normal
DR_63126,526,1141,2,Normal
DR_73356,526,2124,2,Vague
DR_56374,551,1809,2,Normal
DR_43076,553,1339,2,Aggressive
DR_60603,514,1930,2,Normal
DR_70653,494,1389,2,Normal
DR_67260,481,1312,2,Normal
DR_13064,525,2199,2,Aggressive
DR_55593,549,1678,2,Normal
DR_63366,557,1776,2,Vague
DR_52490,532,1727,2,Normal
DR_54781,550,1302,2,Normal
DR_41273,532,1528,2,Normal
DR_5903,526,1489,2,Normal
DR_41646,512,1400,2,Normal
DR_42396,525,1482,2,Normal
DR_65299,535,795,2,Aggressive
DR_24484,522,1499,2,Normal
DR_16379,499,946,2,Normal
DR_26660,561,1403,2,Aggressive
DR_32145,567,1136,2,Normal
DR_66912,529,581,2,Aggressive
DR_23829,521,492,2,Normal
DR_65518,565,1795,2,Normal
DR_71770,536,1302,2,Aggressive
DR_72359,1061,2749,4,Vague
DR_66898,555,1251,2,Aggressive
DR_30327,1676,18124,6,Aggressive
DR_32495,1419,4612,6,Normal
DR_72871,2061,14244,5,Aggressive
DR_67719,917,5978,2,Normal
DR_61938,2043,20757,6,Aggressive
DR_15006,1302,2358,4,Aggressive
DR_34013,1719,18877,6,Vague
DR_34077,1875,12257,6,Vague
DR_61336,451,968,2,Normal
DR_71010,504,1307,2,Normal
DR_39255,536,1403,2,Aggressive
DR_67171,693,2575,2,Aggressive
DR_64590,509,2014,2,Vague
DR_50416,955,9054,3,Normal
DR_6501,485,817,2,Aggressive
DR_69647,776,577,3,Normal
DR_42619,1342,1054,4,Normal
DR_53585,490,1291,2,Normal
DR_19320,896,648,2,Normal
DR_39450,922,13110,4,Vague
DR_63953,521,1678,2,Vague
DR_16213,557,2203,2,Aggressive
DR_58940,899,19977,4,Normal
DR_60479,509,1743,2,Aggressive
DR_21617,575,2012,2,Normal
DR_4456,537,1804,2,Normal
DR_14509,579,2258,2,Normal
DR_43469,509,2029,2,Aggressive
DR_55502,550,1632,2,Normal
DR_36490,576,2384,2,Normal
DR_64618,544,1699,2,Normal
DR_61783,514,2121,2,Normal
DR_16844,543,1966,2,Normal
DR_20614,556,1463,2,Normal
DR_26817,575,2303,2,Normal
DR_67227,547,2567,2,Normal
DR_74670,556,1693,2,Normal
DR_51436,567,1364,2,Normal
DR_55005,538,2012,2,Normal
DR_39380,555,2224,2,Normal
DR_6113,545,2387,2,Vague
DR_54132,541,1778,2,Normal
DR_47308,535,2711,2,Vague
DR_46476,546,1656,2,Vague
DR_43589,568,1869,2,Aggressive
DR_13302,548,1937,2,Vague
DR_61004,560,2142,2,Vague
DR_47313,555,1544,2,Vague
DR_57658,512,1659,2,Normal
DR_44004,537,2084,2,Aggressive
DR_4560,579,1754,2,Normal
DR_63102,586,1837,2,Vague
DR_66467,564,1585,2,Vague
DR_31110,588,2596,2,Aggressive
DR_59412,561,2344,2,Vague
DR_63861,579,1974,2,Normal
DR_18593,549,1841,2,Normal
DR_30004,565,2431,2,Vague
DR_12602,585,1891,2,Normal
DR_15790,542,1466,2,Vague
DR_4338,572,1618,2,Vague
DR_30237,542,1860,2,Vague
DR_7118,564,1621,2,Vague
DR_13101,579,1797,2,Aggressive
DR_29005,567,1574,2,Aggressive
DR_13950,566,2082,2,Aggressive
DR_52408,511,1065,2,Normal
DR_64246,556,928,2,Aggressive
DR_24095,604,2248,2,Normal
DR_45540,550,1444,2,Normal
DR_40966,506,1435,2,Normal
DR_13193,566,1803,2,Vague
DR_16445,1494,14456,3,Aggressive
DR_18483,593,1541,2,Aggressive
DR_43483,525,1526,2,Normal
DR_65501,604,2481,2,Normal
DR_10088,581,2102,2,Aggressive
DR_33296,417,891,2,Vague
DR_45270,620,2891,2,Aggressive
DR_42829,899,6769,3,Vague
DR_55868,1704,19721,6,Aggressive
DR_54459,495,1357,2,Normal
DR_61205,1403,11039,3,Aggressive
DR_25920,337,880,2,Normal
DR_43497,467,433,2,Normal
DR_44375,478,988,2,Aggressive
DR_16571,486,968,2,Vague
DR_72569,544,1909,2,Normal
DR_17869,1228,4742,3,Normal
DR_41530,1111,12432,3,Normal
DR_20062,557,1519,2,Vague
DR_22875,523,1606,2,Normal
DR_50209,522,680,2,Normal
DR_54913,1207,7710,8,Vague
DR_24903,422,430,2,Normal
DR_27487,541,1175,2,Normal
DR_29911,493,1036,2,Normal
DR_43393,500,1261,2,Normal
DR_56551,484,1057,2,Normal
DR_53009,463,1344,2,Normal
DR_63973,561,1411,2,Normal
DR_61588,602,1256,2,Normal
DR_40509,558,1557,2,Normal
DR_17730,519,1060,2,Normal
DR_17531,536,1175,2,Normal
DR_30238,566,2015,2,Normal
DR_23307,541,1557,2,Normal
DR_35363,542,1466,2,Normal
DR_21383,541,1816,2,Normal
DR_16398,572,1710,2,Aggressive
DR_60171,557,1614,2,Aggressive
DR_37601,561,2319,2,Normal
DR_27194,539,1577,2,Normal
DR_44291,536,1624,2,Aggressive
DR_23563,572,1823,2,Normal
DR_53636,590,1344,2,Normal
DR_4819,543,2260,2,Normal
DR_17336,565,1854,2,Normal
DR_69171,527,1397,2,Normal
DR_39363,558,1151,2,Normal
DR_73117,578,1525,2,Normal
DR_53123,519,1406,2,Normal
DR_68461,542,1792,2,Normal
DR_52175,517,1039,2,Normal
DR_35291,530,1732,2,Normal
DR_32195,1710,13891,6,Normal
DR_54826,574,5449,3,Normal
DR_35185,609,1022,2,Normal
DR_62363,504,1063,2,Normal
DR_21810,550,1186,2,Normal
DR_50150,1005,2079,2,Normal
DR_58249,531,883,2,Normal
DR_4513,539,1570,2,Normal
DR_6092,903,6979,3,Aggressive
DR_55569,1640,7974,6,Vague
DR_71819,1702,16869,6,Aggressive
DR_11781,1390,13686,6,Normal
DR_57204,510,534,2,Normal
DR_28426,1123,1080,5,Aggressive
DR_45313,487,610,2,Normal
DR_31454,563,2612,2,Normal
DR_75199,1716,23242,5,Aggressive
DR_14670,480,1525,2,Aggressive
DR_55038,530,1104,2,Aggressive
DR_36168,2050,12088,6,Aggressive
DR_18377,1826,10481,5,Normal
DR_21053,593,1704,2,Normal
DR_32683,533,1388,2,Normal
DR_23978,1130,1946,3,Vague
DR_23776,1670,6756,5,Normal
DR_12917,520,631,2,Normal
DR_25535,784,557,3,Normal
DR_70363,439,826,2,Normal
DR_52399,579,1363,2,Normal
DR_44393,1033,19819,4,Normal
DR_15858,1672,19413,6,Normal
DR_74880,1558,13951,4,Normal
DR_6014,898,3749,4,Normal
DR_43571,1661,15411,6,Normal
DR_5366,507,1591,2,Normal
DR_64942,1359,9611,6,Vague
DR_28616,2061,18731,5,Normal
DR_35415,1989,19193,5,Normal
DR_28542,1697,11895,5,Normal
DR_71254,2047,19023,5,Normal
DR_63388,2007,20264,5,Aggressive
DR_46233,1035,7280,2,Vague
DR_62163,2022,24813,6,Aggressive
DR_68393,1701,25580,6,Aggressive
DR_38079,520,1723,2,Normal
DR_33393,1671,12590,5,Normal
DR_64298,923,1670,4,Normal
DR_67760,533,2103,2,Vague
DR_59315,1668,16783,5,Normal
DR_55482,653,668,3,Normal
DR_40081,526,2073,2,Vague
DR_7284,1614,13503,4,Vague
DR_5865,595,379,2,Normal
DR_29649,568,2720,2,Normal
DR_60915,1683,18216,5,Normal
DR_39344,1027,15203,3,Normal
DR_32565,556,2197,2,Normal
DR_59708,583,2529,2,Normal
DR_29384,535,2070,2,Normal
DR_11663,574,2715,2,Normal
DR_56532,511,1431,2,Normal
DR_56549,543,2375,2,Normal
DR_29460,556,2128,2,Aggressive
DR_50401,529,2545,2,Normal
DR_11303,513,1701,2,Normal
DR_28568,532,2028,2,Normal
DR_5433,505,2337,2,Normal
DR_17083,492,2054,2,Normal
DR_30002,557,1784,2,Normal
DR_71998,533,1501,2,Vague
DR_14557,534,2073,2,Aggressive
DR_65482,551,1889,2,Vague
DR_30129,556,1981,2,Aggressive
DR_14035,560,1737,2,Aggressive
DR_58103,545,1398,2,Vague
DR_33153,554,1437,2,Aggressive
DR_38306,509,1806,2,Vague
DR_26445,587,1643,2,Vague
DR_67712,544,915,2,Vague
DR_61750,548,1930,2,Vague
DR_73448,552,1480,2,Vague
DR_40180,546,1322,2,Normal
DR_61576,542,1618,2,Vague
DR_56889,573,2021,2,Normal
DR_69945,527,1474,2,Vague
DR_24316,1612,19172,6,Vague
DR_27563,530,1769,2,Vague
DR_16331,566,1876,2,Normal
DR_40492,758,2988,2,Vague
DR_34184,555,1700,2,Vague
DR_61581,1714,24815,6,Vague
DR_38207,503,1194,2,Vague
DR_41181,568,1803,2,Vague
DR_47453,739,2127,2,Normal
DR_56877,1407,3060,3,Vague
DR_19683,1799,17411,5,Normal
DR_29529,1694,24208,6,Normal
DR_43920,2025,23741,6,Aggressive
DR_35513,2008,30610,6,Aggressive
DR_16577,2054,16326,4,Normal
DR_38668,1392,8791,5,Vague
DR_31190,599,2004,2,Aggressive
DR_39606,1727,13757,5,Aggressive
DR_74428,556,2109,2,Normal
DR_10866,1669,11912,5,Normal
DR_6255,1695,17762,5,Normal
DR_73715,1707,26233,6,Normal
DR_74586,679,2562,2,Vague
